From URI	Equivalent URI	Use instead URI	Super URI	Notes
asio:mainResearcherParticipant	X			TODO: Can vivo:PrincipalInvestigatorRole subsitute for this? Or should this be added as subclass of ResearcherRole
asio:participant	X			
asio:participates	X			
asio:patentAssignee	vivo:assignee			
asio:patentAssistantExaminer				
asio:patentCountry				"TODO: not sure if this is subsumed by the use of ""locatedIn"" in roh.  In either case, it seems better to have an explicit jurisdiction, which may be an international one. "
asio:patentInventor				
asio:patentPrimaryExaminer				
asio:patentStatus	X			
asio:personalizes	X			not used in core definitions
asio:plays	X	http://purl.obolibrary.org/obo/RO_0000053		deleted because not used in core definitions. Otherwise use bearerOf instead
asio:profiles	X			
asio:projectCoordinator				See notes on asio:coordinatedBy
asio:projectOutcome		roh:produces		Subproperty of hasOutput if not already
asio:projectStatus	X			
asio:publicationCitation				TODO: use in preference to roh
asio:publishedBy	vivo:publisher			
asio:publishes	vivo:publisherOf			
asio:requiredFor				In the future, would be nice to align these properties and vivo:hasPrerequisite and vivo:prerequisiteFor, the latter two of which are scoped to courses
asio:requires				In the future, would be nice to align these properties and vivo:hasPrerequisite and vivo:prerequisiteFor, the latter two of which are scoped to courses
asio:researchesIn		vivo:hasResearchArea		
asio:specializes	X			becomes obsolete when role individuals are converted to subclasses
asio:spinsOffFrom	roh:isSpinfoffOf			TODO: roh property is misspelled, but otherwise seems like the more natural formulation.
asio:student	X			use StudentRole and subclasses
asio:taughtBy				TODO: make naming parallel to, e.g., vivo.hasResearchArea and vivo:hasSubjectArea.  Perhaps vivo:hasTeachingArea?
asio:teaches				
asio:taughtBy				
asio:utilizes			http://purl.obolibrary.org/obo/RO_0000057	subproperty of hasParticipant
asio:yields		roh:produces		
ro:annotatesAggregatedResource	X			
http://www.w3.org/ns/prov#wasDerivedFrom	X			
https://www.w3.org/TR/prov-o/#wasDerivedFrom	X			
foaf:member	X			use vivo:MemberRole
asio:awardedWith				TODO: ???
asio:hasDOI		bibo:doi		
asio:hasORCID		roh:ORCID		
asio:hasResearcherID		vivo:researcherId		
asio:hasTRL				
asio:identifier		vivo:identifier		
asio:isActive	X			
asio:isCompetitive				TODO: is this an attribute of the project itself or of the process by which the contract was awarded? (Or, if latter, is this still important as a shortcut?)
asio:isbn10		bibo:isbn10		
asio:isbn13		bibo:isbn13		
asio:issn		bibo:issn		
asio:patentDate		vivo:dateIssued		
asio:patentExpirationDate				TODO: DateTimeInterval for validity?
asio:projectAcronym			vivo:abbreviation	
asio:projectBudget	X			TODO: handle in financial module
asio:projectEndDate	X			use vivo:dateTimeInterval instead
asio:projectID			vivo:identifier	
asio:projectKeyword		vivo:freetextKeyword		
asio:projectStartDate				use vivo:dateTimeInterval instead
asio:pubmedcentralid	vivo:pmcid			
asio:pubmedid		bibo:pmid		
asio:qualifieddate				"perhaps just ""date"" (Use vivo:DateTimeValue)?"
asio:qualifiedvaluation				"perhaps just ""value""?"
asio:referencedLaw				
asio:upc				
ro:entryName	X			
roh:cites	X			
roh:factorH	X			
roh:patentStatus				
roh:projectStatus				
roh:status				
asio:Status	roh:Status			
asio:accepted	X			
asio:cancelled	X			
asio:closed	X			
asio:funded	X			
asio:rejected	X			
asio:signed	X			
asio:terminated	X			
asio:unfunded	X			
asio:Administrative			vivo:AdministratorRole	
asio:CatedraticoEscuelaUniversitaria			vivo:Position	TODO: Role or Position?
asio:CatedraticoUniversidad			vivo:Position	TODO: Role or Position?
asio:EventOrganiser			vivo:OrganizerRole	
asio:MasterStudent			http://purl.org/roh/mirror/obo/ero#ERO_0000783	subclass of StudentRole
asio:PASfuncionario			vivo:Position	TODO: Role or Position?
asio:PASlaboral			vivo:Position	TODO: Role or Position?
asio:PhDStudent		http://purl.org/roh/mirror/obo/ero#ERO_0000785		use PhD Student from ERO
asio:Researching			vivo:ResearcherRole	
asio:Teaching			vivo:TeacherRole	
asio:TechnicalSupport			http://purl.org/roh/mirror/obo/bfo#BFO_0000023	TODO: Role or Position?
asio:TitularUniversidad			vivo:Position	TODO: Role or Position?
asio:UndergraduateStudent			http://purl.org/roh/mirror/obo/ero#ERO_0000784	UndergraduateStudentRole
roh:CurriculumVitae			bibo:Document	
